CountyId,population,unemp,health_ins,poverty,SNAP,no_comp,no_internet,home_broad,broad_num,broad_avail,broad_cost,population_bbn,price_bbn,wired_bbn,provide_bbn,all25_bbn,downave_bbn,access_bbn,slowfrac_bbn,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Diversity.Index,Mean
48459,41753,3.7,16.9,13.3,13.5,15.1,23.4,75.9,3,88.2,56.4,35507,29.95,5.199284648,15.33117413,6.470583265,27.72398992,88.21336638,0.402315036,40506,20035,20471,8.1,80.7,8.9,0.7,0.2,0,29790,48796,2647,24088,1297,13.8,20.3,29.1,15.6,25.2,13.1,17,83.5,10.3,0.2,0.7,1.3,4,27.8,16720,80.1,12.4,7.2,0.3,8.3,0.328709,695
48467,56590,3.3,17.2,14.4,11.9,16.1,33,66.3,5,27,52.49,49754,35,4.869879809,17.88435101,8.502592756,26.28985026,96.47555975,0.860151948,53607,26307,27300,10.3,84.3,2.6,0.5,0.5,0.1,39666,50061,2093,25394,1208,14.2,20.3,30,19.8,22.7,14.6,13,80.5,11.4,0.1,1,0.8,6.4,34.4,22384,74.5,15,10.3,0.3,5.9,0.271318,814
48469,92084,3.4,15.8,15.2,12,15.3,30.3,69.2,3,80.8,45.38,87596,29.95,4.854753642,17.03282113,6.203125714,63.37419197,99.34307503,0.19790858,91518,44790,46728,46,45.4,5.8,0.1,1.1,0,64245,55740,2218,28181,1001,14.8,20.8,30,17.3,25.3,13.2,14.1,81.3,12.1,0.9,0.8,0.8,4.1,20,43077,80.5,11.4,7.8,0.3,5.1,0.575256,850
48473,55246,3.7,20,16.9,12.8,11.5,30.7,68.5,9,36.8,49.98,38435,29.95,8.289787954,20.00460518,9.307740341,53.00586184,65.67698712,0.017952387,48443,24209,24234,29.4,43,24.9,0.1,0.7,0,32066,53506,4971,23888,1274,18,25.1,26.5,21.5,25,14,13,78.7,10.8,0.9,3.9,1.4,4.4,30,21837,75.6,15.9,7.9,0.6,7.8,0.655844,1120
48479,276652,3.7,28.1,30.1,28,23.2,37.6,61.9,5,98,50.86,250180,29.95,7.158449916,13.59950835,6.775821409,72.57319386,98.36146774,0.001774722,269624,131657,137967,95.5,3.5,0.3,0.1,0.5,0,130541,40442,1234,16316,420,31.5,42,26.2,22.9,28,10.2,12.7,81.4,11.9,1.1,1.7,1.2,2.7,21.7,102713,75.5,17.3,6.9,0.3,5.7,0.090279,467
48481,41556,3.4,18.2,17.5,15,19.7,33.3,65.5,5,61.1,52.49,40633,35.99,5.266482908,17.59857751,5.041641031,46.37180125,66.80451849,0.232101986,41430,20355,21075,40.3,45.3,13.8,0.1,0.1,0,27899,50145,3208,25867,1856,17.5,29.2,25.4,19.3,21.1,17.6,16.5,84.4,11.7,0.4,0.5,0.3,2.7,23,18767,80.7,12.6,6.5,0.2,5.3,0.613554,778
48489,21358,8.2,28.1,33,21.2,25.8,44,55.2,2,93.9,54.99,22286,34.99,2.728394508,11.53764695,5.70528583,26.3017935,100,0.239298214,21839,11821,10018,88,11.1,0.7,0,0.1,0,14146,29104,2657,13369,863,35.6,49.5,21.5,24.6,22.6,18.8,12.5,86.5,5.3,0,4.9,0.5,2.8,22.7,6415,66.8,21.3,11.8,0.1,14.5,0.226106,595
48497,69984,3.2,17.8,12.5,10,9.8,23.7,75.6,4,34.6,44.16,56480,25,3.410339943,14.45989731,7.769228045,29.38797574,100,0.523919972,63247,31766,31481,18.8,77.5,1.2,0.4,0.5,0.2,44333,59081,2722,27447,1009,13,20.4,29.6,15,24,14.3,17.1,82.2,10.1,0.1,1,0.9,5.7,32.1,27736,78,13.7,8,0.2,6,0.35324,852
48501,8713,2.9,22.4,9,5,12.4,26.7,73.3,2,79.2,75.65,8596,64,4.503955328,14.25593299,7.492903676,33.67273034,86.82445323,0.225919032,8481,4286,4195,65,33.2,0,0.2,0,0,4432,62500,8792,23681,2553,12.3,14.6,21.8,16.9,19.2,27.8,14.4,78,16.8,0,3.7,0.2,1.3,16.2,3755,71.7,17.5,10.7,0.1,7.5,0.486037,721
48503,18010,3,18.6,12.1,10.3,13.6,27,71.7,2,78.3,47.98,18815,59.95,5.533988839,17.53398884,7.169439277,39.4274228,99.56348658,0.074142971,18166,8922,9244,18.1,78.8,1.5,0.5,0.4,0,13070,46351,3907,25661,2290,16.5,25.9,31.5,17.8,21.9,15.1,13.7,83,9,0,0.6,1.4,6.1,15.3,8248,69.8,17.1,11.9,1.2,4.5,0.340236,510
49003,56046,2.6,7.5,9.3,7.6,9.4,16.1,83,4,84.6,61.64,47442,34.99,5.511023987,14.80000843,7.566944901,101.6152342,95.51020193,0.260233548,52182,26423,25759,9.1,87.3,0.5,1,0.8,0.1,34484,58835,2580,22808,635,10.2,13,31.5,14.4,21,10.2,22.9,77.7,14.8,0.7,1.5,1.3,4,23.5,22319,79.4,15.3,5,0.3,5.5,0.225697,726
49005,128289,2.2,7.4,15.2,7.5,4.7,14,85.8,4,93.4,70.11,112656,34.99,5.06997408,14.90273044,8.092955546,85.82889797,95.88948658,0.249254367,120288,60247,60041,10.5,83.8,0.7,0.4,2.1,0.4,78436,53812,1423,21752,581,15.2,14.2,37.9,15.6,22.8,7.8,16,74.5,11.5,2.1,4,2.7,5.2,17.3,56905,77.5,18,4.4,0.2,3.6,0.269504,780
49009,950,3.8,2.8,4.7,0,1.4,6.2,92.4,1,4.1,70,1059,34.99,2,8.497639282,4.748819641,86.8198678,57.28423041,0.251180359,702,425,277,3.3,94.9,0.1,0.9,0,0,539,85000,41001,28533,9141,4,0,19.8,46.4,4.8,13,16,46.6,2.8,0,42.4,0,8.1,18.6,293,73.7,21.8,4.4,0,1,0.132757,743
49013,19938,3.9,14.9,13.3,11.1,10,16.8,82.9,2,81.3,66.66,20567,34.99,3.100500802,9.829192396,5.122477756,27.08524724,87.05290028,0.30899013,20259,10320,9939,8.1,85.4,0.1,4,0.5,0.4,12892,63000,1812,23323,839,12.7,15.4,30.7,14.9,17.5,20,17,81.3,7.7,0.6,2.4,1.2,6.7,20.6,8026,75.9,18.9,4.8,0.4,6.2,0.260286,883
49015,10012,4,9.8,12.8,8.2,12.5,21.8,77.9,3,96.4,61.72,10800,34.95,3.633148148,9.712962963,4.633148148,36.14066667,95.0412037,0.702314815,10410,5306,5104,6.2,91.4,0.1,0.7,0.6,0,7098,51852,1883,21465,924,12.9,20.2,29,20.9,18.5,17.5,14.1,81.9,7.5,1.3,1.7,0.7,6.8,19.8,4030,68.6,24.1,7.2,0.1,4.4,0.160412,728
